Grapheme	IPA	Frequency
^s	s	17
e	*e/e	7
ʔ	ʔ	34
e$	*e/e	7
^ñ	ɲ	8
a̧	*a̧/ã	6
ñ	ɲ	14
i̧$	*i̧/ĩ	18
^r	*r/ɾ	1
a	*a/a	30
-	+	11
y	*y/ʒ	7
ɨ	*ɨ/ɨ	13
ɨ$	*ɨ/ɨ	11
^č	tʃ	5
i	*i/i	20
s	s	19
t	t	11
o	*o/o	5
o$	*o/o	7
u	*u/u	23
u$	*u/u	12
^n	n	3
ɨ̧́	*ɨ̧/ɨ̃	2
ɨ̧́$	ɨ̃ ⁵	2
o̧	*o̧/õ	5
o̧$	*o̧/õ	6
^y	*y/j	18
č	tʃ	8
k	k	11
u̧$	*u̧/ũ	13
i̧	*i̧/ĩ	5
^tʸ	tʲ	2
a$	*a/a	25
^kʷ	kʷ	8
^ⁿd	ⁿd	14
kʷ	kʷ	2
š	ʃ	3
a̧$	*a̧/ã	12
^k	k	13
^š	ʃ	2
u̧	*u̧/ũ	11
^w	*w/β	6
^t	t	11
w	*w/β	16
i$	*i/i	13
m	m	8
ɨ̧	*ɨ̧/ɨ̃	2
ɨ̧$	*ɨ̧/ɨ̃	3
^i	*i/i	3
^ⁿǰ	ⁿdʒ	3
n	n	6
^m	m	2
ⁿǰ	ⁿdʒ	1
^x	*x/ʃ	1
ú̧	ũ ⁵	1
ù̧$	ũ ¹	1
tʸ	tʲ	3
^u	*u/u	5
^u̧	*u̧/ũ	2
^o̧	*o̧/õ	1
^i̧	*i̧/ĩ	2
^l	l	1
l	l	1
^a	*a/a	1
^a̧	*a̧/ã	1
