Grapheme	IPA	Frequency
^a	*a/a	2
đ	ð	15
a$	*a/a	26
i$	*i/i	30
^a̧	*a̧/ã	1
m	m	8
a̧$	*a̧/ã	11
^č	tʃ	3
e	*e/e	8
e$	*e/e	6
i̧	*i̧/ĩ	13
i̧$	*i̧/ĩ	12
u̧$	*u̧/ũ	18
^ȼ	ts	1
a	*a/a	26
y	*y/ʒ	5
u$	*u/u	18
^đ	ð	9
w	*w/β	13
ʔ	ʔ	31
ñ	ɲ	11
o	*o/o	6
o$	*o/o	8
u	*u/u	20
k	k	10
s	s	4
t	t	11
u̧	*u̧/ũ	15
n	n	13
^i	*i/i	4
^i̧	*i̧/ĩ	2
^k	k	13
č	tʃ	8
i	*i/i	32
-	+	14
o̧	*o̧/õ	4
o̧$	*o̧/õ	3
ỹ	j̃	1
^kʷ	kʷ	7
a̧	*a̧/ã	8
^l	l	2
kʷ	kʷ	2
^m	m	2
ⁿz	ⁿz	1
^n	n	5
^ⁿd	ⁿd	15
l	l	2
ȼ	ts	3
^ⁿǰ	ⁿdʒ	4
š	ʃ	4
^ⁿz	ⁿz	1
^ñ	ɲ	9
^o̧	*o̧/õ	1
^s	s	4
^š	ʃ	6
^t	t	9
ȩ	*ȩ/ẽ	1
ȩ$	*ȩ/ẽ	1
^tʸ	tʲ	1
^u̧	*u̧/ũ	3
^u	*u/u	4
^w	*w/β	8
ž	ʒ	2
^ž	ʒ	17
