Grapheme	IPA	Frequency
^a	*a/a	1
s	s	6
ɨ$	*ɨ/ɨ	11
^a̧	*a̧/ã	1
w	*w/β	17
a̧$	*a̧/ã	13
^č	tʃ	10
a	*a/a	31
š	ʃ	3
a$	*a/a	23
t	t	11
u̧$	*u̧/ũ	13
ʔ	ʔ	36
a̧	*a̧/ã	7
i	*i/i	19
-	+	13
o	*o/o	5
o$	*o/o	8
y	*y/ʒ	7
ɨ	*ɨ/ɨ	11
u	*u/u	23
m	m	8
i̧$	*i̧/ĩ	17
^i	*i/i	3
k	k	11
u$	*u/u	13
^i̧	*i̧/ĩ	2
ñ	ɲ	18
^k	k	14
č	tʃ	11
tʸ	tʲ	10
i$	*i/i	12
n	n	6
o̧	*o̧/õ	7
o̧$	*o̧/õ	7
u̧	*u̧/ũ	11
^kʷ	kʷ	8
e	*e/e	7
e$	*e/e	7
i̧	*i̧/ĩ	4
^l	l	2
kʷ	kʷ	1
l	l	1
^m	m	1
^ⁿd	ⁿd	13
^ⁿdʸ	ⁿdʲ	3
^n	n	3
ɨ̧̀	ɨ̃ ¹	2
ɨ̧̀$	ɨ̃ ⁵	2
^ñ	ɲ	3
^o̧	*o̧/õ	1
^r	*r/ɾ	1
^s	s	9
^š	ʃ	3
ù	u ¹	1
ù̧$	ũ ¹	1
^t	t	12
ɨ̧	*ɨ̧/ɨ̃	2
ɨ̧$	*ɨ̧/ɨ̃	2
^tʸ	tʲ	5
^u	*u/u	6
^u̧	*u̧/ũ	2
^w	*w/β	7
ⁿdʸ	ⁿdʲ	1
^y	*y/j	19
