Grapheme	IPA	Frequency
^a̧	*a̧/ã	1
w	*w/β	1
a̧$	*a̧/ã	7
^b	*b/β	1
an	ã 	1
k	k	7
a$	*a/a	16
^ƀ	β	4
e	*e/e	5
e$	*e/e	5
ʔ	ʔ	19
i	*i/i	11
č	tʃ	6
i$	*i/i	13
š	ʃ	3
^č	tʃ	4
a	*a/a	17
a̧	*a̧/ã	3
u̧$	*u̧/ũ	13
t	t	6
o$	*o/o	4
tʸ	tʲ	7
^č̯	tɕ	1
y	*y/ʒ	4
^i	*i/i	3
u$	*u/u	8
^i̧	*i̧/ĩ	1
ñ	ɲ	11
s	s	1
^k	k	7
x	*x/ʃ	1
n	n	4
ɨ	*ɨ/ɨ	7
ƀ	β	10
ɨ$	*ɨ/ɨ	6
u̧	*u̧/ũ	10
m	m	5
i̧$	*i̧/ĩ	6
^kʷ	kʷ	6
^l	l	1
u	*u/u	12
l	l	1
^m	m	1
^ⁿd	ⁿd	9
kʷ	kʷ	1
o	*o/o	2
^ⁿdʸ	ⁿdʲ	2
^n	n	3
ɨ̧	*ɨ̧/ɨ̃	3
ɨ̧̀$	ɨ̃ ⁵	2
-	+	2
ⁿd	ⁿd	1
^ñ	ɲ	4
ɨ̧̀	ɨ̃ ¹	1
^o̧	*o̧/õ	1
o̧$	*o̧/õ	5
^r	*r/ɾ	1
^s	s	7
^š	ʃ	2
^ṣ̌	ʂ	1
^t	t	4
i̧	*i̧/ĩ	2
ɨ̧$	*ɨ̧/ɨ̃	2
o̧	*o̧/õ	2
^tʸ	tʲ	2
^u	*u/u	4
^u̧	*u̧/ũ	3
r̃	rː	1
^y	*y/j	14
