Grapheme	IPA	Frequency
^đ	ð	15
é	e ⁵	7
ʔ	ʔ	56
è$	e ¹	11
^k	k	21
ú	u ⁵	18
à$	a ¹	12
^ñ	ɲ	10
à	a ¹	18
n	n	22
í$	i ⁵	9
a̧	*a̧/ã	7
i̧$	*i̧/ĩ	4
ú$	u ⁵	19
ì	i ¹	7
đ	ð	9
t	t	25
ó$	o ⁵	9
^t	t	18
^š	ʃ	9
í	i ⁵	17
-	+	9
ó	o ⁵	7
^n	n	11
ɨ̧́	*ɨ̧/ɨ̃	3
ñ	ɲ	10
ɨ̧́$	ɨ̃ ⁵	2
^ž	ʒ	32
ɨ̀	ɨ ¹	10
k	k	16
ɨ̀$	ɨ ¹	8
â	a ⁵¹	4
á$	a ⁵	20
ú̧	ũ ⁵	10
ù̧$	ũ ¹	10
ù	u ¹	19
ù$	u ¹	11
u	*u/u	4
u$	*u/u	4
ò$	o ¹	5
^l	l	7
o	*o/o	2
o$	*o/o	2
í̧	ĩ ⁵	3
N	n̥	1
í̧$	ĩ ⁵	6
ú̧$	ũ ⁵	9
^ⁿd	ⁿd	19
^č	tʃ	6
ì̧	ĩ ¹	6
i̧̧$	ĩ	2
ɨ́$	ɨ ⁵	1
ɨ̧	*ɨ̧/ɨ̃	2
ɨ̧$	*ɨ̧/ɨ̃	2
^s	s	5
á	a ⁵	9
^kʷ	kʷ	11
é$	e ⁵	3
ɨ́	ɨ ⁵	7
ž	ʒ	7
kʷ	kʷ	4
ȩ	*ȩ/ẽ	1
l	l	6
ȩ$	*ȩ/ẽ	3
u̧$	*u̧/ũ	14
s	s	3
r	*r/ɾ	1
ò	o ¹	4
u̧	*u̧/ũ	7
^ƀ	β	12
è	e ¹	6
^ì	i ¹	6
č	tʃ	9
ì$	i ¹	8
a̧$	*a̧/ã	7
e	*e/e	3
ƀ	β	3
^ⁿǰ	ⁿdʒ	3
^tn	tⁿ	4
ɨ̧̀	ɨ̃ ¹	1
ɨ̧̀$	ɨ̃ ⁵	2
^i̧	*i̧/ĩ	2
ȩ́	ẽ ⁵	1
^m	m	2
m	m	10
ì̧$	ĩ ¹	6
š	ʃ	9
a	*a/a	5
à̧$	ã ¹	4
á̧	ã ⁵	3
á̧$	ã ⁵	6
i	*i/i	1
i$	*i/i	4
i̧	*i̧/ĩ	1
à̧	ã ¹	3
ⁿd	ⁿd	2
ù̧	ũ ¹	2
e$	*e/e	1
a$	*a/a	1
ê	e ⁵¹	1
î	i ⁵¹	2
â̧	ã ⁵¹	1
^ɨ̧̀ɨ̧̀$	ɨ̃ ¹ ɨ̃ ¹	1
^ú	u ⁵	4
^ʔ	ʔ	5
^ú̧	ũ ⁵	2
^ì̧	ĩ ¹	1
^ɨ̧́ɨ̧́$	ɨ̃ ⁵ ɨ̃ ⁵	1
d	d	1
^w	*w/β	1
ȩ̀	ẽ ¹	1
ȩ̀$	ẽ ¹	1
i̧̧	ĩ	1
î̧	ĩ ⁵¹	1
