Grapheme	IPA	Frequency
^đ	ð	10
a	*a/a	12
ʔ	ʔ	21
i$	*i/i	8
^ñ	ɲ	7
a̧	*a̧/ã	6
n	n	12
i̧$	*i̧/ĩ	9
^t	t	3
e	*e/e	8
e$	*e/e	8
^n	n	3
ɨ̧	*ɨ̧/ɨ̃	4
ñ	ɲ	4
ɨ̧$	*ɨ̧/ɨ̃	4
o	*o/o	3
o$	*o/o	5
i	*i/i	9
N	n̥	6
u	*u/u	12
k	k	5
u̧$	*u̧/ũ	13
^nn	nː	2
i̧	*i̧/ĩ	3
^š	ʃ	5
^kʷ	kʷ	6
^ⁿd	ⁿd	11
ɨ	*ɨ/ɨ	4
y	*y/ʒ	2
ɨ$	*ɨ/ɨ	3
kʷ	kʷ	1
a$	*a/a	9
x	*x/ʃ	4
u̧	*u̧/ũ	9
^ƀ	β	5
^ž	ʒ	7
u$	*u/u	13
^i	*i/i	5
t	t	5
^k	k	5
w	*w/β	1
^s	s	1
đ	ð	4
ȩ	*ȩ/ẽ	1
l	l	2
^	NULL	2
m	m	4
a̧$	*a̧/ã	7
s	s	1
ȩ$	*ȩ/ẽ	1
č	tʃ	2
^y	*y/j	1
-	+	2
^u	*u/u	3
^u̧	*u̧/ũ	3
^i̧	*i̧/ĩ	1
š	ʃ	2
^l	l	1
ƀ	β	1
o̧$	*o̧/õ	1
