Grapheme	IPA	Frequency
^a	*a/a	1
đ	ð	10
i$	*i/i	30
^č	tʃ	5
i	*i/i	39
-	+	16
k	k	12
o	*o/o	9
ʔ	ʔ	31
o$	*o/o	10
i̧	*i̧/ĩ	9
u̧$	*u̧/ũ	20
i̧$	*i̧/ĩ	18
t	t	19
u$	*u/u	15
^đ	ð	11
a	*a/a	27
w	*w/β	10
a$	*a/a	21
y	*y/ʒ	6
e	*e/e	10
e$	*e/e	6
n	n	20
u	*u/u	18
s	s	6
a̧$	*a̧/ã	10
u̧	*u̧/ũ	17
^ì̧	ĩ ¹	1
ì̧$	ĩ ¹	2
^i	*i/i	3
^i̧	*i̧/ĩ	3
ñ	ɲ	4
^k	k	10
č	tʃ	7
m	m	7
^kʷ	kʷ	8
a̧	*a̧/ã	5
^l	l	2
kʷ	kʷ	4
^m	m	1
^ⁿd	ⁿd	10
š	ʃ	4
^n	n	4
ì̧	ĩ ¹	1
^ⁿǰ	ⁿdʒ	3
^ⁿs	ⁿs	4
^ñ	ɲ	7
ú̧	ũ ⁵	1
ú̧$	ũ ⁵	1
^s	s	14
l	l	1
^š	ʃ	3
^t	t	9
^tʸ	tʲ	1
^u	*u/u	6
^u̧	*u̧/ũ	2
^w	*w/β	8
ⁿdʸ	ⁿdʲ	1
^y	*y/j	17
