Grapheme	IPA	Frequency
^k	k	12
ɨ	*ɨ/ɨ	15
t	t	13
ɨ$	*ɨ/ɨ	8
^ⁿd	ⁿd	15
u	*u/u	20
č	tʃ	4
i$	*i/i	11
^š	ʃ	9
i	*i/i	16
o$	*o/o	9
^ñ	ɲ	8
u̧	*u̧/ũ	17
m	m	6
a̧$	*a̧/ã	12
a	*a/a	20
ʔ	ʔ	34
n	n	11
u̧$	*u̧/ũ	17
^t	t	10
-	+	12
s	s	6
a$	*a/a	22
^u	*u/u	5
ƀ	β	11
^kʷ	kʷ	8
^n	n	8
ɨ̧́	*ɨ̧/ɨ̃	1
ñ	ɲ	12
ɨ̧́$	ɨ̃ ⁵	1
ⁿd	ⁿd	1
o̧	*o̧/õ	2
a̧	*a̧/ã	7
i̧$	*i̧/ĩ	11
^ƀ	β	8
l	l	2
u$	*u/u	15
^s	s	9
e	*e/e	9
e$	*e/e	6
š	ʃ	10
k	k	9
^ž	ʒ	16
^i	*i/i	3
ž	ʒ	5
o	*o/o	6
^u̧	*u̧/ũ	3
N	n̥	9
o̧$	*o̧/õ	3
i̧	*i̧/ĩ	7
^č	tʃ	1
^m	m	1
í	i ⁵	1
ɨ̧	*ɨ̧/ɨ̃	5
ɨ̧$	*ɨ̧/ɨ̃	6
ī	i ³	1
ⁿdʸ	ⁿdʲ	1
^l	l	2
kʷ	kʷ	1
tʸ	tʲ	2
w	*w/β	1
^i̧	*i̧/ĩ	1
^x	*x/ʃ	1
^a	*a/a	1
