Grapheme	IPA	Frequency
^ƀ	β	4
à	a ¹	11
ʔ	ʔ	34
ā$	a ³	4
í	i ⁵	6
l	l	1
ú$	u ⁵	6
ì	i ¹	18
š	ʃ	9
ī̧$	*ī̧/ĩ ³	5
ī	i ³	19
t	t	17
^č	tʃ	6
ú̧$	ũ ⁵	7
ā	a ³	11
ù$	u ¹	5
ē	e ³	5
è$	e ¹	3
ì̧	ĩ ¹	6
ñ	ɲ	9
ù̧$	ũ ¹	9
ì$	i ¹	6
^đ	ð	1
k	k	11
à$	a ¹	9
^k	k	13
á̧	ã ⁵	4
à̧$	ã ¹	5
č	tʃ	5
í$	i ⁵	14
á	a ⁵	5
n	n	13
ū̧	ũ ³	8
-	+	22
đ	ð	2
s	s	10
ī$	*ī/i ³	5
ò	o ¹	3
ō$	o ³	3
ù̧	ũ ¹	9
m	m	6
í̧$	ĩ ⁵	8
u	*u/u	2
i$	*i/i	2
ù	u ¹	11
ú̧	ũ ⁵	1
ƀ	β	7
^kʷ	kʷ	6
é	e ⁵	2
ī̧	ĩ ³	4
ū̧$	ũ ³	3
^l	l	3
kʷ	kʷ	4
á$	a ⁵	6
ó	o ⁵	2
ⁿd	ⁿd	5
ó$	o ⁵	6
ū	u ³	8
^m	m	1
à̧	ã ¹	2
é$	e ⁵	2
^ⁿd	ⁿd	19
â	a ⁵¹	1
a	*a/a	2
ž	ʒ	7
u$	*u/u	2
u̧$	*u̧/ũ	2
e$	*e/e	1
`	¹	1
sʸ	sʲ	3
ō	o ³	4
u̧	*u̧/ũ	3
v	β	3
^n	n	3
^ñ	ɲ	5
a̧	*a̧/ã	1
á̧$	ã ⁵	5
^s	s	7
è	e ¹	2
ē$	e ³	4
^š	ʃ	3
ì̧$	ĩ ¹	4
í̧	ĩ ⁵	4
^sʸ	sʲ	2
^t	t	12
y	*y/ʒ	3
ā̧	ã ³	2
`$	¹	1
^tʸ	tʲ	1
^v	β	2
^y	*y/j	1
^ž	ʒ	18
i̧	*i̧/ĩ	1
i̧$	*i̧/ĩ	1
ú	u ⁵	1
^ʔ	ʔ	21
w	*w/β	2
