Grapheme	IPA	Frequency
^a	*a/a	3
²	*²/³	76
m	m	17
a	*a/a	115
²$	*²/³	21
a$	*a/a	57
s	s	8
ɨ̧	*ɨ̧/ɨ̃	1
ʔ$	ʔ	68
^a̧	*a̧/ã	1
w	*w/β	2
a̧$	*a̧/ã	6
^b	*b/β	3
e	*e/e	21
²¹$	*²¹/³¹	16
i	*i/i	117
t	t	52
ĩ	*ĩ/ĩ	5
ʧ	tʃ	6
^ƀ	β	8
l	l	4
ʔ	ʔ	53
e$	*e/e	12
č	tʃ	9
i̧$	*i̧/ĩ	11
š	ʃ	2
i$	*i/i	42
i̧	*i̧/ĩ	17
ⁿd	ⁿd	2
^č	tʃ	10
u$	*u/u	32
u̧	*u̧/ũ	20
a̧	*a̧/ã	16
-	+	19
ƀ	β	17
u̧$	*u̧/ũ	15
^ch	tʃ	8
'	ʔ	42
$	NULL	8
un$	*un/ũ	6
k	k	34
o$	*o/o	10
o	*o/o	19
y	*y/ʒ	12
^h	*h/ʔ	1
ñ	ɲ	12
^i	*i/i	21
u	*u/u	97
n	n	30
ɲ	ɲ	6
ʃ	ʃ	1
^ī	i ³	2
ín$	ĩ ⁵	1
īn$	ĩ ³	1
in$	ĩ	5
^i̧	*i̧/ĩ	1
^j	*j/h	18
¹	*¹/¹	6
v	β	10
²¹	*²¹/³¹	8
b	*b/β	5
j	*j/h	2
ũ	*ũ/ũ	5
^k	k	39
¹$	*¹/¹	3
an	ã 	5
an$	*an/ã	3
ch	tʃ	10
x	*x/ʃ	3
^kʷ	kʷ	16
ã	*ã/ã	4
³$	*³/⁴	6
^l	l	3
kʷ	kʷ	4
g	g	1
^m	m	4
a̠	*a̠/a ¹	1
á$	a ⁵	1
^n	n	25
^ⁿd	ⁿd	20
d	d	11
+	?+	2
í$	i ⁵	1
o̧	*o̧/õ	1
o̧$	*o̧/õ	1
^ñ	ɲ	12
ú$	u ⁵	1
^ɲ	ɲ	3
^o	*o/o	1
^r	*r/ɾ	3
^s	s	23
^š	ʃ	4
r	*r/ɾ	2
^ʃ	ʃ	2
^t	t	36
kui	*kui/kʷ i	1
uun$	*uun/ũ ũ	2
^ʧ	tʃ	4
ùun$	ũ ³ ũ ¹	1
^u	*u/u	14
^u̧	*u̧/ũ	3
^v	β	8
i̠	*i̠/i ¹	1
ō	o ³	1
^x	*x/ʃ	5
^y	*y/j	29
ó	o ⁵	1
