Grapheme	IPA	Frequency
^đ	ð	12
a	*a/a	29
ʔ	ʔ	34
a$	*a/a	26
^ⁿd	ⁿd	13
i	*i/i	34
-	+	10
y	*y/ʒ	7
a̧	*a̧/ã	8
n	n	13
i̧$	*i̧/ĩ	18
^š	ʃ	8
^č	tʃ	4
e	*e/e	7
e$	*e/e	5
^t	t	9
o	*o/o	7
o$	*o/o	9
u	*u/u	20
t	t	14
u$	*u/u	20
^n	n	5
i̧	*i̧/ĩ	13
ñ	ɲ	9
ỹ	j̃	3
u̧	*u̧/ũ	13
u̧$	*u̧/ũ	14
^ž	ʒ	16
č	tʃ	8
i$	*i/i	24
k	k	9
^s	s	4
^kʷ	kʷ	9
o̧$	*o̧/õ	7
kʷ	kʷ	3
ȼ	ts	3
^ⁿž	ⁿʒ	2
s	s	4
o̧	*o̧/õ	6
š	ʃ	5
^ñ	ɲ	6
^w	*w/β	3
ȩ	*ȩ/ẽ	2
ȩ$	*ȩ/ẽ	2
^ȼ	ts	1
^k	k	10
đ	ð	11
^l	l	2
l	l	2
w	*w/β	3
a̧$	*a̧/ã	12
m	m	11
^i	*i/i	4
^ƀ	β	5
ƀ	β	7
^ỹ	j̃	3
^m	m	3
ⁿȼ	ⁿts	1
y$	*y/j	1
^y	*y/j	5
ž	ʒ	1
^f	f	1
r̃	rː	1
^ⁿz	ⁿz	1
^u	*u/u	4
^u̧	*u̧/ũ	2
^o̧	*o̧/õ	1
^i̧	*i̧/ĩ	3
^a	*a/a	1
^a̧	*a̧/ã	1
