Grapheme	IPA	Frequency
^a	*a/a	2
đ	ð	10
i$	*i/i	27
r	*r/ɾ	3
d	d	1
i	*i/i	34
y	*y/ʒ	1
a$	*a/a	24
^ƀ	β	8
à	a ¹	11
ʔ	ʔ	36
ā$	a ³	3
e	*e/e	13
e$	*e/e	10
ē	e ³	2
ē$	e ³	2
č	tʃ	12
i̧$	*i̧/ĩ	19
ī	i ³	7
ī$	*ī/i ³	4
ì	i ¹	9
ì$	i ¹	5
š	ʃ	7
^č	tʃ	7
-	+	32
i̧	*i̧/ĩ	9
ỹ	j̃	1
o̧$	*o̧/õ	11
í̧	ĩ ⁵	1
ì̧$	ĩ ¹	4
k	k	15
a	*a/a	32
s	s	7
o̧	*o̧/õ	9
ō̧	õ ³	2
ō̧$	õ ³	3
^đ	ð	16
ƀ	β	6
ā	a ³	4
m	m	9
à̧$	ã ¹	1
è	e ¹	1
u̧$	*u̧/ũ	7
t	t	23
$	NULL	9
ò$	o ¹	3
n	n	14
ò	o ¹	7
ō$	o ³	1
ü	*ü/ʉ	14
ü$	ʉ	9
^ì̧	ĩ ¹	1
^i̧	*i̧/ĩ	3
^ī̧ī̧$	ĩ ³ ĩ ³	1
^i	*i/i	3
ñ	ɲ	5
u	*u/u	5
^k	k	25
á	a ⁵	2
o	*o/o	11
ò̧	õ ¹	2
a̧	*a̧/ã	11
ù	u ¹	5
à$	a ¹	7
ú	u ⁵	1
í$	i ⁵	1
ù$	u ¹	3
^kʷ	kʷ	6
à̧	ã ¹	1
á̧$	ã ⁵	1
a̧$	*a̧/ã	8
á$	a ⁵	1
í	i ⁵	1
^l	l	4
l	l	4
ū	u ³	6
ū$	u ³	1
ⁿd	ⁿd	2
o$	*o/o	8
^m	m	2
^n	n	10
^ⁿd	ⁿd	15
kʷ	kʷ	3
i̭	j	1
^ⁿdʸ	ⁿdʲ	1
^ñ	ɲ	8
ī̧$	*ī̧/ĩ ³	1
ò̧$	õ ¹	3
ó̧	õ ⁵	1
^o	*o/o	3
^o̧	*o̧/õ	3
w	*w/β	4
^s	s	7
u̧	*u̧/ũ	2
u$	*u/u	1
^š	ʃ	6
^t	t	20
ì̧	ĩ ¹	1
ā̧$	ã ³	1
ž	ʒ	3
ȩ	*ȩ/ẽ	1
^ü	*ü/ʉ	3
^w	*w/β	2
^y	*y/j	1
^ž	ʒ	23
I$	i̥	1
ō	o ³	1
