Grapheme	IPA	Frequency
^a	*a/a	1
đ	ð	11
i$	*i/i	30
^č	tʃ	3
ȩ	*ȩ/ẽ	2
ȩ$	*ȩ/ẽ	1
i	*i/i	29
-	+	10
i̧	*i̧/ĩ	9
ñ	ɲ	6
u̧$	*u̧/ũ	17
^ȼ	ts	5
ʔ	ʔ	29
a̧$	*a̧/ã	11
u̧	*u̧/ũ	11
m	m	7
n	n	12
a̧	*a̧/ã	7
t	t	13
i̧$	*i̧/ĩ	18
ȼ	ts	2
^đ	ð	9
a	*a/a	26
w	*w/β	14
a$	*a/a	22
y	*y/ʒ	3
e	*e/e	10
e$	*e/e	8
č	tʃ	7
u	*u/u	19
k	k	10
s	s	5
u$	*u/u	12
^i	*i/i	6
^i̧	*i̧/ĩ	3
^k	k	11
o	*o/o	6
o$	*o/o	7
^kʷ	kʷ	7
^l	l	2
^m	m	1
^n	n	5
^ⁿd	ⁿd	11
kʷ	kʷ	3
š	ʃ	4
^ⁿǰ	ⁿdʒ	3
^ⁿs	ⁿs	3
^ñ	ɲ	7
^s	s	5
^š	ʃ	3
^t	t	8
^tʸ	tʲ	1
^u̧	*u̧/ũ	3
^u	*u/u	5
^v	β	1
^w	*w/β	6
ⁿdʸ	ⁿdʲ	1
^y	*y/j	17
