Grapheme	IPA	Frequency
^a	*a/a	1
s	s	5
ɨ̧$	*ɨ̧/ɨ̃	6
^a̧	*a̧/ã	1
w	*w/β	2
a̧$	*a̧/ã	12
^ƀ	β	9
a	*a/a	25
ʔ	ʔ	35
a$	*a/a	23
e	*e/e	7
e$	*e/e	5
i	*i/i	21
č	tʃ	8
i̧$	*i̧/ĩ	17
l	l	2
u$	*u/u	15
š	ʃ	4
i$	*i/i	14
tʸ	tʲ	11
i̧	*i̧/ĩ	5
ⁿdʸ	ⁿdʲ	1
^č	tʃ	9
t	t	11
u̧$	*u̧/ũ	18
a̧	*a̧/ã	7
-	+	6
o	*o/o	6
o$	*o/o	8
y	*y/ʒ	9
ɨ	*ɨ/ɨ	13
ɨ$	*ɨ/ɨ	12
^i	*i/i	3
k	k	10
^i̧	*i̧/ĩ	1
ñ	ɲ	13
^k	k	10
n	n	6
ƀ	β	16
u	*u/u	22
u̧	*u̧/ũ	15
m	m	7
^kʷ	kʷ	7
^l	l	3
kʷ	kʷ	1
^m	m	1
^n	n	4
^ⁿd	ⁿd	14
ʔ$	ʔ	1
^ⁿdʸ	ⁿdʲ	3
ɨ̧	*ɨ̧/ɨ̃	5
^ñ	ɲ	9
^r	*r/ɾ	1
^s	s	12
^š	ʃ	4
lʸ	lʲ	1
^t	t	10
^tʸ	tʲ	3
^u	*u/u	5
^u̧	*u̧/ũ	3
^y	*y/j	18
