Grapheme	IPA	Frequency
^n	n	20
d	*d/ð	11
ī	i ³	13
-	+	19
y	*y/ʒ	27
ā	a ³	18
k	k	22
á$	a ⁵	2
^k	k	23
ɨ̄	ɨ ³	7
t	t	24
ɨ̄$	ɨ ³	3
ɨ	*ɨ/ɨ	20
ɨ$	*ɨ/ɨ	15
^t	t	27
o	*o/o	8
o$	*o/o	11
^ch	tʃ	7
i	*i/i	25
sh	ʃ	4
i$	*i/i	25
ī$	*ī/i ³	7
a	*a/a	45
a$	*a/a	47
tyā	tʲ a ¹	2
$	NULL	7
ā$	a ³	7
u	*u/u	41
tyi	*tyi/tʲ i	4
^ⁿd	ⁿd	15
tʸ	tʲ	10
^č	tʃ	9
^ñ	ɲ	15
m	m	20
u̧	*u̧/ũ	14
a̧$	*a̧/ã	11
ch	tʃ	6
h	*h/ʔ	34
n	n	8
ú$	u ⁵	6
ʔ	ʔ	36
u̧$	*u̧/ũ	17
^s	s	20
^u	*u/u	10
ƀ	β	15
ō	o ³	3
ōn	õ ³	1
^kw	kʷ	7
^kʷ	kʷ	7
ñ	ɲ	31
ɨ̧	*ɨ̧/ɨ̃	5
ɨ̧$	*ɨ̧/ɨ̃	6
^š	ʃ	3
^y	*y/j	31
a̧	*a̧/ã	6
i̧$	*i̧/ĩ	17
ú	u ⁵	2
oon$	*oon/õ õ	1
ē	e ³	4
e$	*e/e	7
e	*e/e	6
^ƀ	β	7
č	tʃ	10
s	s	9
ū	u ³	11
ān$	ã ³	2
^i	*i/i	7
u$	*u/u	25
ō$	o ³	3
v	β	7
^u̧	*u̧/ũ	2
un$	*un/ũ	4
^tʸ	tʲ	4
i̧	*i̧/ĩ	4
^o	*o/o	2
on$	*on/õ	1
^o̧	*o̧/õ	1
o̧$	*o̧/õ	4
^m	m	1
^v	β	4
^ⁿdʸ	ⁿdʲ	3
^ī	i ³	3
á	a ⁵	1
š	ʃ	3
í$	i ⁵	4
^i̧	*i̧/ĩ	2
ē$	e ³	2
^r	*r/ɾ	2
o̧	*o̧/õ	3
an$	*an/ã	1
^sh	ʃ	4
ū$	u ³	3
+	+	1
^ɨ	*ɨ/ɨ	1
n$	n	4
īn$	ĩ ³	1
^ɨ̄	ɨ ³	1
ⁿdʸ	ⁿdʲ	1
kʷ	kʷ	2
^k°	kʷ	1
tya	*tya/tʲ a	2
^l	l	3
ó	o ⁵	1
ó$	o ⁵	2
l	l	2
^a	*a/a	2
an	ã	1
ūn$	ũ ³	1
í	i ⁵	1
^á	a ⁵	1
^a̧	*a̧/ã	1
w	*w/β	1
ín$	ĩ ⁵	1
^í	i ⁵	1
