Grapheme	IPA	Frequency
^s	s	10
e	*e/e	7
ʔ	ʔ	35
e$	*e/e	6
^ñ	ɲ	9
a̧	*a̧/ã	8
n	n	13
i̧$	*i̧/ĩ	14
^tʸ	tʲ	4
a	*a/a	27
a$	*a/a	22
t	t	11
o	*o/o	7
o$	*o/o	8
u	*u/u	17
u$	*u/u	18
^n	n	5
i̧	*i̧/ĩ	10
u̧	*u̧/ũ	16
u̧$	*u̧/ũ	15
^ž	ʒ	17
^š	ʃ	7
i	*i/i	34
i$	*i/i	35
k	k	12
^č	tʃ	4
^ṣ	ʂ	4
tʸ	tʲ	7
^kʷ	kʷ	8
ñ	ɲ	5
^ⁿdʸ	ⁿdʲ	7
^k	k	11
j	*j/h	1
a̧$	*a̧/ã	11
^ⁿd	ⁿd	10
kʷ	kʷ	3
-	+	10
m	m	8
^l	l	4
l	l	2
ṣ	ʂ	3
^w	*w/β	1
ƀ	β	13
^tʸʰ	tʲ	1
^t	t	5
s	s	5
^i	*i/i	3
sʸ	sʲ	2
č	tʃ	4
š	ʃ	3
^ƀ	β	6
ⁿdʸ	ⁿdʲ	1
^sʸ	sʲ	1
^m	m	1
^y	*y/j	1
s̯	ɕ	2
ì	i ¹	1
à$	a ¹	1
ž	ʒ	2
ⁿd	ⁿd	1
^u	*u/u	5
^u̧	*u̧/ũ	3
^i̧	*i̧/ĩ	2
š̭	ɕ	1
^a	*a/a	1
w	*w/β	1
