Grapheme	IPA	Frequency
^ƀ	β	5
à	a ¹	7
ʔ	ʔ	35
ā$	a ³	9
í	i ⁵	2
l	l	5
ū$	u ³	6
ì	i ¹	12
š	ʃ	4
ì$	i ¹	5
ī	i ³	8
t	t	17
ā̧$	ã ³	4
x	*x/ʃ	5
ī̧$	*ī̧/ĩ ³	6
^č	tʃ	2
y	*y/ʒ	9
ō$	o ³	4
ū	u ³	9
k	k	14
ū̧$	ũ ³	12
^k	k	13
č	tʃ	4
-	+	13
ƀ	β	5
á$	a ⁵	1
á	a ⁵	1
n	n	13
ú̧$	ũ ⁵	1
i	*i/i	5
s	s	5
ɨ̄$	ɨ ³	6
ɨ$	*ɨ/ɨ	4
w	*w/β	8
ɨ̀$	ɨ ¹	2
ò	o ¹	2
ò$	o ¹	2
ù	u ¹	9
à$	a ¹	6
ù̧	ũ ¹	14
m	m	7
ì̧$	ĩ ¹	2
ñ	ɲ	10
u	*u/u	2
i$	*i/i	1
ú̧	ũ ⁵	2
ū̧	ũ ³	8
e$	*e/e	1
^kʷ	kʷ	8
á̧	ã ⁵	4
á̧$	ã ⁵	1
ī$	*ī/i ³	8
ù̧$	ũ ¹	7
é	e ⁵	3
é$	e ⁵	2
ê$	e ⁵¹	1
è	e ¹	6
ī̧	ĩ ³	8
^l	l	3
ɨ́$	ɨ ⁵	1
ɨ̄	ɨ ³	4
ú	u ⁵	4
í$	i ⁵	3
^m	m	1
ȩ̀$	ẽ ¹	1
^n	n	22
ā̧	ã ³	4
ⁿd	ⁿd	1
í̧	ĩ ⁵	3
v	β	4
ì̧	ĩ ¹	7
kʷ	kʷ	1
à̧	ã ¹	3
ȩ̄	ẽ ³	2
ž	ʒ	2
ù$	u ¹	4
ā	a ³	8
ɨ̧̀$	ɨ̃ ⁵	2
xʸ	*xʸ/xʲ	1
à̧$	ã ¹	6
ò̧	õ ¹	1
ò̧$	õ ¹	1
u̧	*u̧/ũ	2
i̧$	*i̧/ĩ	3
ē$	e ³	4
^ñ	ɲ	10
ɨ̧̀	ɨ̃ ¹	2
ȩ$	*ȩ/ẽ	1
^s	s	11
^š	ʃ	3
a$	*a/a	1
ɨ̧$	*ɨ̧/ɨ̃	1
^t	t	12
ē	e ³	3
â$	a ⁵¹	1
ɨ̧́$	ɨ̃ ⁵	1
u̧$	*u̧/ũ	1
^tʸ	tʲ	1
^v	β	2
^xʸ	*xʸ/xʲ	1
è$	e ¹	2
^y	*y/j	5
í̧$	ĩ ⁵	1
ú$	u ⁵	2
^ž	ʒ	11
ō	o ³	1
^ʔ	ʔ	17
