Grapheme	IPA	Frequency
^k	k	11
i	*i/i	29
t	t	22
-	+	7
k	k	12
u	*u/u	23
ʔ	ʔ	37
u$	*u/u	19
^ⁿd	ⁿd	17
i$	*i/i	32
^č	tʃ	12
o$	*o/o	7
^y	*y/j	21
u̧	*u̧/ũ	14
m	m	8
a̧$	*a̧/ã	10
a	*a/a	33
n	n	12
u̧$	*u̧/ũ	16
^s	s	11
a$	*a/a	27
^u	*u/u	4
^kʷ	kʷ	7
^n	n	4
i̧	*i̧/ĩ	9
ñ	ɲ	10
i̧$	*i̧/ĩ	15
a̧	*a̧/ã	5
^m	m	2
č	tʃ	12
e	*e/e	8
e$	*e/e	6
^t	t	13
^ƀ	β	7
s	s	6
^ž	ʒ	3
^i	*i/i	4
ƀ	β	9
o	*o/o	5
^u̧	*u̧/ũ	3
^ñ	ɲ	4
^i̧	*i̧/ĩ	3
kʷ	kʷ	3
^r	*r/ɾ	1
w	*w/β	2
y	*y/ʒ	2
+	+	1
^š	ʃ	2
ⁿd	ⁿd	1
^l	l	1
^ⁿž	ⁿʒ	1
š	ʃ	2
^a	*a/a	1
ú̧	ũ ⁵	1
ú̧$	ũ ⁵	1
^a̧	*a̧/ã	1
