Grapheme	IPA	Frequency
^k	k	12
i	*i/i	34
t	t	17
i$	*i/i	25
^ⁿd	ⁿd	18
u	*u/u	8
č	tʃ	4
ü$	ʉ	4
^š	ʃ	10
o$	*o/o	14
^ñ	ɲ	10
i̧	*i̧/ĩ	10
m	m	6
a̧$	*a̧/ã	7
a	*a/a	21
ʔ	ʔ	33
n	n	14
u̧$	*u̧/ũ	13
-	+	18
l	l	1
a$	*a/a	16
^ʔ	ʔ	13
o	*o/o	9
ƀ	β	7
^kʷ	kʷ	7
^n	n	3
ī̧	ĩ ³	1
ǐ̧$	ĩ ¹⁵	2
^θ	θ	9
k	k	10
a̧	*a̧/ã	8
i̧$	*i̧/ĩ	9
^ƀ	β	4
θ	θ	6
^č	tʃ	3
e	*e/e	8
^t	t	12
ì	i ¹	7
ⁿd	ⁿd	2
v	β	7
à$	a ¹	4
š	ʃ	8
ī$	*ī/i ³	1
u̧	*u̧/ũ	14
^ž	ʒ	15
u$	*u/u	3
ü	*ü/ʉ	4
ž	ʒ	6
e$	*e/e	6
ù̧	ũ ¹	3
à̧	ã ¹	1
ù̧$	ũ ¹	1
ñ	ɲ	6
θʸ	θʲ	1
^v	β	2
kʷ	kʷ	5
à	a ¹	2
ā$	a ³	2
ī	i ³	2
ǐ$	i ¹⁵	2
ǖ	ʉ ³	3
ǚ$	ʉ ¹⁵	2
í	i ⁵	1
s	s	1
ō	o ³	1
ǒ$	o ¹⁵	1
ì̧	ĩ ¹	3
ì̧$	ĩ ¹	2
í$	i ⁵	1
í̧$	ĩ ⁵	1
^l	l	1
ò	o ¹	3
á	a ⁵	1
ǘ$	ʉ ⁵	1
ȩ$	*ȩ/ẽ	1
ō$	o ³	1
^tʸ	tʲ	1
^h	*h/ʔ	1
á̧	ã ⁵	1
ā̧$	ã ³	1
ú̧$	ũ ⁵	1
