Grapheme	IPA	Frequency
^č	tʃ	4
a	*a/a	21
ʔ	ʔ	33
w	*w/β	5
a$	*a/a	20
i̧	*i̧/ĩ	7
u̧$	*u̧/ũ	17
ɨ̧	*ɨ̧/ɨ̃	4
ɨ̧$	*ɨ̧/ɨ̃	6
u	*u/u	20
^đ	ð	10
u$	*u/u	20
ž	ʒ	6
i	*i/i	15
t	t	16
n	n	15
i̧$	*i̧/ĩ	12
a̧$	*a̧/ã	10
o	*o/o	8
o$	*o/o	9
k	k	12
u̧	*u̧/ũ	13
m	m	7
^i	*i/i	3
đ	ð	7
^i̧	*i̧/ĩ	2
ñ	ɲ	6
^k	k	10
č	tʃ	6
i$	*i/i	10
š	ʃ	5
ɨ	*ɨ/ɨ	10
ɨ$	*ɨ/ɨ	8
^kʷ	kʷ	8
a̧	*a̧/ã	7
e	*e/e	16
e$	*e/e	13
l	l	4
^l	l	3
s	s	3
^m	m	2
^n	n	10
-	+	8
r̃	rː	2
^ⁿd	ⁿd	15
kʷ	kʷ	1
ɨ̧̀	ɨ̃ ¹	2
ɨ̧́$	ɨ̃ ⁵	1
ɨ̧̀$	ɨ̃ ⁵	1
^ⁿǰ	ⁿdʒ	3
^ñ	ɲ	8
ú̧	ũ ⁵	1
ú̧$	ũ ⁵	1
^s	s	3
^š	ʃ	5
^t	t	7
^u	*u/u	5
^u̧	*u̧/ũ	3
^w	*w/β	6
ⁿd	ⁿd	1
^x	*x/ʃ	1
^y	*y/j	1
^ž	ʒ	20
ȩ$	*ȩ/ẽ	1
