Grapheme	IPA	Frequency
^a	*a/a	1
s	s	13
u̧$	*u̧/ũ	23
^ƀ	β	8
a	*a/a	41
ʔ	ʔ	36
a$	*a/a	41
e	*e/e	11
e$	*e/e	8
i	*i/i	19
l	l	4
u$	*u/u	36
i̧	*i̧/ĩ	5
N	n̥	20
a̧$	*a̧/ã	13
š	ʃ	5
i$	*i/i	17
x	*x/ʃ	8
i̧$	*i̧/ĩ	10
ⁿǰ	ⁿdʒ	1
^č	tʃ	1
^ch	tʃ	6
k	k	19
á$	a ⁵	5
ɨ̄	ɨ ³	11
h	*h/ʔ	29
n$	n	4
o	*o/o	8
t	t	21
ō$	o ³	4
uun$	*uun/ũ ũ	1
^ī	i ³	9
ch	tʃ	6
ī$	*ī/i ³	8
^i	*i/i	4
ū$	u ³	13
n	n	45
^i̧	*i̧/ĩ	1
ñ	ɲ	15
sh	ʃ	5
ā$	a ³	15
^ɨ̄	ɨ ³	2
ɨ	*ɨ/ɨ	13
^k	k	23
č	tʃ	6
á	a ⁵	10
o̧	*o̧/õ	1
u	*u/u	32
-	+	14
ⁿd	ⁿd	1
ɨ̄$	ɨ ³	4
ɨ$	*ɨ/ɨ	13
v	β	3
w	*w/β	4
o$	*o/o	14
ō	o ³	4
ū	u ³	12
u̧	*u̧/ũ	18
ūun$	ũ ³ ũ ¹	1
^kʷ	kʷ	9
a̧	*a̧/ã	7
^kw	kʷ	10
án$	ã ⁵	1
í$	i ⁵	1
ā	a ³	21
y	*y/ʒ	6
é	e ⁵	1
é$	e ⁵	1
ē	e ³	3
ē$	e ³	2
í	i ⁵	2
ín$	ĩ ⁵	1
ī	i ³	9
ž	ʒ	7
ɨ̧	*ɨ̧/ɨ̃	6
ɨ̧$	*ɨ̧/ɨ̃	6
^l	l	8
m	m	11
kʷ	kʷ	1
ú	u ⁵	5
ú$	u ⁵	5
^n	n	23
^ⁿd	ⁿd	15
z	s	1
d	d	12
Ñ	ɲ̥	1
ɨ́	ɨ ⁵	2
ɨ́$	ɨ ⁵	1
ɨ̃	ɨ̃	1
ṣ̌	ʂ	3
ƀ	β	4
^nn	nː	1
^	NULL	8
^ñ	ɲ	17
^ō	o ³	1
^p	p	1
p	p	1
^r	*r/ɾ	1
^s	s	21
^š	ʃ	2
^sh	ʃ	7
an$	*an/ã	1
īīn$	ĩ ³ ĩ ³	1
un$	*un/ũ	3
^t	t	14
^ū	u ³	6
^u̧	*u̧/ũ	3
^u	*u/u	5
shy	ʃʲ	1
^v	β	7
in$	ĩ	1
^x	*x/ʃ	10
kw	kʷ	1
^xʸ	*xʸ/xʲ	1
^y	*y/j	13
īn$	ĩ ³	1
^ž	ʒ	17
