Grapheme	IPA	Frequency
^k	k	11
ɨ̄	ɨ ³	11
t	t	11
ɨ̄$	ɨ ³	4
^sh	ʃ	7
ī	i ³	9
sh	ʃ	5
ī$	*ī/i ³	8
^x	*x/ʃ	4
ā	a ³	21
a$	*a/a	18
^nd	ⁿd	12
k	k	8
ā$	a ³	15
ō	o ³	4
h	*h/ʔ	29
o$	*o/o	6
ū	u ³	12
ch	tʃ	6
^ñ	ɲ	8
u	*u/u	9
m	m	6
^ch	tʃ	6
i	*i/i	3
i$	*i/i	7
^n	n	7
á	a ⁵	10
n	n	21
ū$	u ³	13
^	NULL	2
N	n̥	7
ú	u ⁵	5
ú$	u ⁵	5
^kw	kʷ	10
a	*a/a	11
^y	*y/j	13
uun$	*uun/ũ ũ	1
^s	s	8
ē	e ³	3
ē$	e ³	2
^v	β	7
x	*x/ʃ	4
in$	ĩ	1
ɨ	*ɨ/ɨ	2
s	s	5
ɨ$	*ɨ/ɨ	5
^ī	i ³	9
v	β	3
u$	*u/u	15
o	*o/o	2
ɨ̃	ɨ̃	1
^ū	u ³	6
an$	*an/ã	1
^t	t	6
^p	p	1
p	p	1
á$	a ⁵	5
y	*y/ʒ	4
un$	*un/ũ	3
ūun$	ũ ³ ũ ¹	1
īn$	ĩ ³	1
ɨ́	ɨ ⁵	2
ɨ́$	ɨ ⁵	1
e	*e/e	1
e$	*e/e	1
ñ	ɲ	5
ō$	o ³	4
^l	l	2
kw	kʷ	1
^ɨ̄	ɨ ³	2
n$	n	3
īīn$	ĩ ³ ĩ ³	1
^i	*i/i	1
í	i ⁵	2
Ñ	ɲ̥	1
-	+	2
shy	ʃʲ	1
^r	*r/ɾ	1
é	e ⁵	1
é$	e ⁵	1
í$	i ⁵	1
l	l	1
^ō	o ³	1
ín$	ĩ ⁵	1
^nn	nː	1
án$	ã ⁵	1
