Grapheme	IPA	Frequency
^á	a ⁵	1
s	s	7
in$	ĩ	5
^ch	tʃ	1
i	*i/i	18
l	l	3
i$	*i/i	16
^í	i ⁵	7
'	ʔ	44
n	n	15
í$	i ⁵	4
ín$	ĩ ⁵	1
ìn$	ĩ ¹	6
k	k	11
ù$	u ¹	15
^i	*i/i	3
ñ	ɲ	11
u$	*u/u	8
o$	*o/o	7
t	t	22
a$	*a/a	14
^j	*j/h	4
a	*a/a	23
àn$	ã ¹	3
ì	i ¹	5
-	+	8
ó	o ⁵	2
ò$	o ¹	5
ó$	o ⁵	3
u	*u/u	19
ún$	ũ ⁵	1
^k	k	27
nd	ⁿd	2
á	a ⁵	11
ú$	u ⁵	7
á$	a ⁵	4
ch	tʃ	5
an	ã 	1
í	i ⁵	31
ì$	i ¹	21
v	β	12
o	*o/o	6
à$	a ¹	14
an$	*an/ã	1
y	*y/ʒ	5
é	e ⁵	6
e$	*e/e	6
e	*e/e	5
é$	e ⁵	1
x	*x/ʃ	11
ú	u ⁵	24
kuà	kʷ a ¹	2
$	NULL	2
úún$	ũ ³ ũ ³	1
^l	l	2
^m	m	1
^n	n	21
d	d	16
j	*j/h	2
ò	o ¹	2
è$	e ¹	3
ù	u ¹	8
è	e ¹	2
^ñ	ɲ	10
m	m	8
^s	s	10
n$	n	6
^t	t	10
^tn	tⁿ	7
íín$	ĩ ⁵ ĩ ⁵	1
^u	*u/u	4
un$	*un/ũ	3
^ú	u ⁵	4
^v	β	8
^x	*x/ʃ	15
à	a ¹	1
^y	*y/j	23
