Grapheme	IPA	Frequency
^s	s	6
e	*e/e	10
ʔ	ʔ	20
e$	*e/e	7
^ñ	ɲ	7
a̧	*a̧/ã	5
n	n	8
i̧$	*i̧/ĩ	11
^t	t	10
^n	n	2
i̧	*i̧/ĩ	5
ñ	ɲ	6
o	*o/o	5
o$	*o/o	7
^š	ʃ	3
t	t	11
u	*u/u	13
k	k	5
u̧$	*u̧/ũ	16
^i	*i/i	4
i$	*i/i	15
^x	*x/ʃ	4
a	*a/a	14
a$	*a/a	12
^kʷ	kʷ	5
^ⁿǰ	ⁿdʒ	1
i	*i/i	21
^ⁿd	ⁿd	14
kʷ	kʷ	3
x	*x/ʃ	6
a̧$	*a̧/ã	7
u̧	*u̧/ũ	9
^ƀ	β	5
^ž	ʒ	10
u$	*u/u	12
^k	k	7
-	+	8
l	l	3
^l	l	2
ƀ	β	3
ž	ʒ	1
s	s	2
č	tʃ	2
ɨ	*ɨ/ɨ	1
š	ʃ	3
ⁿd	ⁿd	1
^i̧·	iː	1
^u	*u/u	3
^u̧	*u̧/ũ	3
u̧u̧ⁿ$	*u̧u̧ⁿ/ũ ũ	1
^i̧	*i̧/ĩ	1
w	*w/β	1
