Grapheme	IPA	Frequency
^a	*a/a	3
-	+	9
s	s	2
t	t	13
o	*o/o	9
ʔ	ʔ	31
o$	*o/o	9
a$	*a/a	19
đ	ð	10
ɨ$	*ɨ/ɨ	1
^č	tʃ	6
i	*i/i	29
a	*a/a	24
n	n	13
a̧	*a̧/ã	9
a̧$	*a̧/ã	11
i̧	*i̧/ĩ	10
ñ	ɲ	10
u̧$	*u̧/ũ	21
e	*e/e	14
ž	ʒ	5
u$	*u/u	18
^đ	ð	14
w	*w/β	13
i$	*i/i	21
i̧$	*i̧/ĩ	16
o̧	*o̧/õ	1
o̧$	*o̧/õ	1
u	*u/u	19
k	k	11
š	ʃ	7
ȩ$	*ȩ/ẽ	3
tʸ	tʲ	7
u̧	*u̧/ũ	15
m	m	5
^i	*i/i	4
^i̧	*i̧/ĩ	2
ƀ	β	1
^k	k	8
č	tʃ	6
^kʷ	kʷ	8
ȩ	*ȩ/ẽ	1
e$	*e/e	10
^l	l	2
l	l	2
^n	n	5
r̃	rː	1
^ⁿd	ⁿd	10
kʷ	kʷ	2
^ⁿdʸ	ⁿdʲ	4
^ⁿǰ	ⁿdʒ	5
^ñ	ɲ	8
^s	s	3
^š	ʃ	6
^t	t	7
^tʸ	tʲ	2
^u̧	*u̧/ũ	3
^u	*u/u	4
^w	*w/β	6
ⁿd	ⁿd	1
^x	*x/ʃ	1
^y	*y/j	1
^ỹ	j̃	1
^ž	ʒ	18
ɨ	*ɨ/ɨ	1
ɨ̧$	*ɨ̧/ɨ̃	1
