Grapheme	IPA	Frequency
^ƀ	β	5
a	*a/a	16
ʔ	ʔ	31
a$	*a/a	18
i	*i/i	27
č	tʃ	11
i$	*i/i	21
ì	i ¹	6
š	ʃ	10
i̧$	*i̧/ĩ	12
i̧	*i̧/ĩ	12
ⁿč	ⁿtʃ	2
u	*u/u	19
u$	*u/u	10
^č	tʃ	10
à	a ¹	2
á$	a ⁵	2
-	+	16
e	*e/e	5
e$	*e/e	7
kʷ	kʷ	3
n	n	11
a̧	*a̧/ã	8
s	s	5
ú̧	ũ ⁵	1
m	m	7
a̧$	*a̧/ã	7
í	i ⁵	1
ž	ʒ	5
á	a ⁵	3
à$	a ¹	4
ñ	ɲ	10
u̧$	*u̧/ũ	11
^čʸ	tʃʲ	1
^k	k	15
ī	i ³	4
k	k	12
ī$	*ī/i ³	3
v	β	5
ì$	i ¹	6
o	*o/o	7
o̧	*o̧/õ	4
ò	o ¹	3
ò$	o ¹	4
ⁿd	ⁿd	2
u̧	*u̧/ũ	7
^kʷ	kʷ	5
^l	l	3
^m	m	1
l	l	1
^ⁿč	ⁿtʃ	10
ù	u ¹	4
ù$	u ¹	4
^ⁿd	ⁿd	5
ā	a ³	5
o$	*o/o	4
ū	u ³	2
^n	n	5
ì̧	ĩ ¹	2
ì̧$	ĩ ¹	2
ī̧	ĩ ³	1
í̧$	ĩ ⁵	1
^ñ	ɲ	6
^š	ʃ	12
t	t	9
^s	s	6
o̧$	*o̧/õ	1
ó$	o ⁵	1
ō$	o ³	1
^t	t	5
ù̧	ũ ¹	2
ū̧$	ũ ³	1
^v	β	1
è	e ¹	1
^y	*y/j	1
^ž	ʒ	17
ƀ	β	3
ó	o ⁵	1
ō	o ³	1
θ	θ	1
ū̧	ũ ³	1
ù̧$	ũ ¹	2
^ʔ	ʔ	15
ò̧$	õ ¹	1
x	*x/ʃ	1
ô	o ⁵¹	1
