Grapheme	IPA	Frequency
^đ	ð	10
e	*e/e	10
ʔ	ʔ	32
e$	*e/e	8
^ñ	ɲ	7
a̧	*a̧/ã	6
n	n	11
i̧$	*i̧/ĩ	14
^tʸ	tʲ	1
a	*a/a	26
a$	*a/a	23
^s	s	11
t	t	17
o	*o/o	7
o$	*o/o	8
u	*u/u	19
u$	*u/u	16
^n	n	5
i̧	*i̧/ĩ	11
u̧	*u̧/ũ	14
u̧$	*u̧/ũ	13
^y	*y/j	17
^t	t	8
i	*i/i	35
č	tʃ	7
i$	*i/i	34
k	k	10
^č	tʃ	4
s	s	6
^kʷ	kʷ	8
ñ	ɲ	7
-	+	15
ȩ	*ȩ/ẽ	1
^ⁿs	ⁿs	4
^ⁿd	ⁿd	11
kʷ	kʷ	3
đ	ð	10
a̧$	*a̧/ã	12
^w	*w/β	7
^š	ʃ	3
^k	k	10
^l	l	3
w	*w/β	11
m	m	7
y	*y/ʒ	4
^a	*a/a	2
r	*r/ɾ	1
d	d	1
š	ʃ	4
^i	*i/i	3
^ì̧	ĩ ¹	1
ì̧$	ĩ ¹	1
ò	o ¹	1
ò$	o ¹	1
ⁿdʸ	ⁿdʲ	1
^ⁿč	ⁿtʃ	1
^šʸ	ʃʲ	1
ú̧	ũ ⁵	1
ú̧$	ũ ⁵	1
^m	m	1
^u	*u/u	5
^u̧	*u̧/ũ	3
^i̧	*i̧/ĩ	2
^ⁿǰ	ⁿdʒ	2
^a̧	*a̧/ã	1
