Grapheme	IPA	Frequency
^đ	ð	6
e	*e/e	9
ʔ	ʔ	15
e$	*e/e	6
^ñ	ɲ	6
a̧	*a̧/ã	4
n	n	14
i̧$	*i̧/ĩ	13
^tʸ	tʲ	1
a	*a/a	20
a$	*a/a	16
^n	n	3
i̧	*i̧/ĩ	3
^t	t	2
u	*u/u	14
t	t	11
i	*i/i	19
k	k	5
u̧$	*u̧/ũ	13
^č	tʃ	4
ȩ	*ȩ/ẽ	1
ȩ$	*ȩ/ẽ	1
^i̧	*i̧/ĩ	4
^a̧	*a̧/ã	1
m	m	6
a̧$	*a̧/ã	8
^s	s	6
^kʷ	kʷ	6
^ⁿs	ⁿs	1
i$	*i/i	20
^ⁿd	ⁿd	10
kʷ	kʷ	3
s	s	4
u̧	*u̧/ũ	10
^ƀ	β	4
^y	*y/j	10
^k	k	6
y	*y/ʒ	3
^l	l	1
^r	*r/ɾ	1
an	ã 	1
-	+	6
r	*r/ɾ	2
d	d	1
u$	*u/u	5
^ⁿǰ	ⁿdʒ	1
^tn	tⁿ	1
o	*o/o	3
o$	*o/o	5
ᵍw	gʷ	1
^i	*i/i	3
č	tʃ	3
đ	ð	3
^ⁿy	*ⁿj/ⁿʒ	1
ƀ	β	4
ñ	ɲ	3
^š	ʃ	2
š	ʃ	3
^u	*u/u	3
^u̧	*u̧/ũ	3
ɡ	g	1
^p	p	1
l	l	1
b	*b/β	1
