Grapheme	IPA	Frequency
^a	*a/a	1
s	s	6
ɨ$	*ɨ/ɨ	11
^a̧	*a̧/ã	1
w	*w/β	17
a̧$	*a̧/ã	10
^č	tʃ	10
a	*a/a	28
-	+	11
č	tʃ	12
i	*i/i	20
i$	*i/i	17
t	t	11
u̧$	*u̧/ũ	13
ʔ	ʔ	32
a$	*a/a	25
a̧	*a̧/ã	6
o	*o/o	5
o$	*o/o	7
y	*y/ʒ	8
ɨ	*ɨ/ɨ	12
u	*u/u	22
m	m	8
i̧$	*i̧/ĩ	15
^i	*i/i	3
k	k	10
u$	*u/u	11
^i̧	*i̧/ĩ	2
ñ	ɲ	16
^k	k	12
tʸ	tʲ	11
n	n	4
o̧	*o̧/õ	5
o̧$	*o̧/õ	7
u̧	*u̧/ũ	12
^kʷ	kʷ	8
e	*e/e	7
e$	*e/e	7
i̧	*i̧/ĩ	4
^kʸ	kʲ	1
^m	m	2
ⁿdʸ	ⁿdʲ	1
^ⁿd	ⁿd	13
kʷ	kʷ	1
^ⁿdʸ	ⁿdʲ	2
^n	n	3
ɨ̧̀	ɨ̃ ¹	2
ɨ̧̀$	ɨ̃ ⁵	2
^ñ	ɲ	8
^o̧	*o̧/õ	1
^r	*r/ɾ	1
^s	s	9
^š	ʃ	4
š	ʃ	2
^t	t	13
ɨ̧	*ɨ̧/ɨ̃	2
ɨ̧$	*ɨ̧/ɨ̃	2
^tʸ	tʲ	4
^u	*u/u	5
^u̧	*u̧/ũ	2
^w	*w/β	6
^y	*y/j	16
