Grapheme	IPA	Frequency
^đ	ð	12
è	e ¹	4
ʔ	ʔ	30
ē$	e ³	4
^ñ	ɲ	8
ā̧	ã ³	2
n	n	16
ī̧$	*ī̧/ĩ ³	8
^tʸ	tʲ	1
à	a ¹	8
ā$	a ³	5
^s	s	13
t	t	16
ō	o ³	4
ō$	o ³	2
ù	u ¹	6
ù$	u ¹	5
^n	n	4
ì̧	ĩ ¹	3
ì̧$	ĩ ¹	10
ù̧	ũ ¹	7
ū̧$	ũ ³	5
^y	*y/j	15
ū	u ³	7
ò	o ¹	4
ò$	o ¹	5
ì	i ¹	22
k	k	10
ù̧$	ũ ¹	8
^č	tʃ	7
ī̧	ĩ ³	2
ī	i ³	12
s	s	6
ī$	*ī/i ³	9
à$	a ¹	10
^kʷ	kʷ	8
è$	e ¹	1
^ⁿs	ⁿs	3
^ⁿd	ⁿd	7
ā	a ³	10
kʷ	kʷ	4
i	*i/i	5
i$	*i/i	3
à̧$	ã ¹	9
ū$	u ³	6
ū̧	ũ ³	6
^v	β	3
ē	e ³	3
ì$	i ¹	12
^š	ʃ	3
ó$	o ⁵	2
^t	t	4
í$	i ⁵	3
^k	k	9
^l	l	1
-	+	11
đ	ð	7
m	m	8
š	ʃ	5
i̧	*i̧/ĩ	1
i̧$	*i̧/ĩ	2
y	*y/ʒ	3
^tn	tⁿ	2
ú$	u ⁵	1
á	a ⁵	1
w	*w/β	1
^ī	i ³	3
u	*u/u	2
à̧	ã ¹	4
u̧$	*u̧/ũ	3
č	tʃ	5
^ⁿǰ	ⁿdʒ	1
^ì̧	ĩ ¹	1
ñ	ɲ	3
ƀ	β	2
^ƀ	β	4
ⁿdʸ	ⁿdʲ	1
^ⁿč	ⁿtʃ	2
a$	*a/a	2
o$	*o/o	2
^m	m	1
e	*e/e	1
í̧	ĩ ⁵	1
á$	a ⁵	1
á̧$	ã ⁵	1
^ù	u ¹	4
^ù̧	ũ ¹	3
u̧	*u̧/ũ	2
^ī̧	ĩ ³	2
^u	*u/u	1
v	β	3
^à	a ¹	1
ā̧$	ã ³	2
a	*a/a	1
é$	e ⁵	1
ú̧$	ũ ⁵	1
^a̧	*a̧/ã	1
a̧$	*a̧/ã	1
