Grapheme	IPA	Frequency
^a̧	*a̧/ã	1
m	m	8
a̧$	*a̧/ã	10
^a	*a/a	1
s	s	15
i̧$	*i̧/ĩ	21
^č	tʃ	2
i̧	*i̧/ĩ	8
i	*i/i	30
ñ	ɲ	8
u̧$	*u̧/ũ	25
^i̧	*i̧/ĩ	2
^i	*i/i	9
k	k	11
u$	*u/u	15
-	+	8
t	t	17
o	*o/o	6
ʔ	ʔ	32
o$	*o/o	8
a$	*a/a	22
^k	k	12
a	*a/a	25
č	tʃ	4
i$	*i/i	20
n	n	11
ì	i ¹	1
w	*w/β	14
í$	i ⁵	1
u̧	*u̧/ũ	19
ỹ	j̃	2
u	*u/u	17
^kʷ	kʷ	7
a̧	*a̧/ã	6
e	*e/e	7
e$	*e/e	7
^l	l	1
^m	m	2
^ⁿd	ⁿd	16
kʷ	kʷ	3
y	*y/ʒ	4
š	ʃ	6
ʔ$	ʔ	1
^n	n	5
ì̧	ĩ ¹	1
í̧$	ĩ ⁵	1
^ñ	ɲ	5
^p	p	1
l	l	1
^s	s	14
^ṣ	ʂ	2
^š	ʃ	2
ṣ	ʂ	2
^t	t	13
^u̧	*u̧/ũ	3
^u	*u/u	5
^w	*w/β	8
ⁿd	ⁿd	1
^y	*y/j	19
^ỹ	j̃	1
