Grapheme	IPA	Frequency
^ƀ	β	5
à	a ¹	7
ʔ	ʔ	35
a$	*a/a	21
i	*i/i	31
h	*h/ʔ	7
š	ʃ	3
i$	*i/i	26
t	t	19
i̧	*i̧/ĩ	5
ⁿd	ⁿd	3
^č	tʃ	6
-	+	19
č	tʃ	5
a	*a/a	27
rr	rː	1
kʷ	kʷ	5
i̧$	*i̧/ĩ	6
u̧$	*u̧/ũ	9
o$	*o/o	12
u̧	*u̧/ũ	14
^h	*h/ʔ	8
w	*w/β	1
è	e ¹	1
ē$	e ³	1
ì	i ¹	9
k	k	13
ò$	o ¹	6
ì̧	ĩ ¹	2
ì̧$	ĩ ¹	5
o	*o/o	6
u	*u/u	14
^hʷ	hʷ	1
^k	k	13
ā$	a ³	1
n	n	11
ò̧	õ ¹	2
m	m	6
ò	o ¹	3
v	β	3
ñ	ɲ	2
u$	*u/u	6
ƀ	β	4
ì$	i ¹	5
^kʷ	kʷ	7
a̧	*a̧/ã	6
a̧$	*a̧/ã	6
e	*e/e	6
e$	*e/e	5
à$	a ¹	5
^l	l	2
ó	o ⁵	2
^ⁿd	ⁿd	14
á$	a ⁵	2
ē	e ³	2
s	s	6
^n	n	4
ȩ	*ȩ/ẽ	1
ȩ$	*ȩ/ẽ	1
ī̧	ĩ ³	2
ù̧	ũ ¹	3
ù̧$	ũ ¹	4
^ñ	ɲ	10
ž	ʒ	3
ú̧	ũ ⁵	1
^s	s	7
p	p	1
^š	ʃ	5
^t	t	12
í$	i ⁵	1
y	*y/ʒ	2
o̧	*o̧/õ	1
í̧$	ĩ ⁵	1
ī̧$	*ī̧/ĩ ³	1
^v	β	2
^ž	ʒ	17
ā	a ³	1
ō	o ³	1
ō$	o ³	1
ù	u ¹	2
ù$	u ¹	1
^ʔ	ʔ	13
í̧	ĩ ⁵	1
