Grapheme	IPA	Frequency
^k	k	17
i	*i/i	59
³	*³/⁴	21
t	t	23
¹$	*¹/¹	27
i$	*i/i	23
^ⁿd	ⁿd	16
š	ʃ	2
^š	ʃ	5
o$	*o/o	14
^ñ	ɲ	7
i̧	*i̧/ĩ	7
m	m	8
a̧$	*a̧/ã	5
a	*a/a	47
ʔ	ʔ	35
n	n	14
o	*o/o	28
²$	*²/³	26
u̧$	*u̧/ũ	7
^l	l	4
a$	*a/a	13
^kʷ	kʷ	8
¹	*¹/¹	28
ʧ	tʃ	3
^ɲ	ɲ	4
^n	n	4
i̧$	*i̧/ĩ	11
^s	s	9
u$	*u/u	6
²	*²/³	13
a̧	*a̧/ã	4
^č	tʃ	4
^θ	θ	2
e	*e/e	13
^đ	ð	3
e$	*e/e	5
^j	*j/h	15
^b	*b/β	3
ʃ	ʃ	2
^ƀ	β	3
θ	θ	2
u̧	*u̧/ũ	9
^y	*y/j	6
u	*u/u	7
s	s	6
^i	*i/i	10
č	tʃ	1
ü	*ü/ʉ	3
ü$	ʉ	3
-	+	10
kʷ	kʷ	5
y	*y/ʒ	15
j	*j/h	1
³$	*³/⁴	8
^t	t	11
ƀ	β	6
^u̧	*u̧/ũ	3
^ʧ	tʃ	2
ĩ	*ĩ/ĩ	3
^o	*o/o	1
õ	õ	3
ñ	ɲ	3
o̧	*o̧/õ	2
x	*x/ʃ	1
k	k	7
ɥ	ɥ	4
^ʃ	ʃ	2
h	*h/ʔ	3
^v	β	1
^ž	ʒ	8
ⁿt	ⁿd	1
ɲ	ɲ	1
^i̧	*i̧/ĩ	1
an	ã	1
ũ	*ũ/ũ	2
o̧$	*o̧/õ	1
ã	*ã/ã	1
