Grapheme	IPA	Frequency
^k	k	5
ɨ	*ɨ/ɨ	3
t	t	5
ɨ$	*ɨ/ɨ	3
^ⁿd	ⁿd	8
u	*u/u	12
č	tʃ	4
i$	*i/i	7
a	*a/a	12
m	m	6
a$	*a/a	11
^ñ	ɲ	12
u̧	*u̧/ũ	12
ȩ$	*ȩ/ẽ	2
^x	*x/ʃ	3
a̧	*a̧/ã	3
ʔ	ʔ	19
n	n	10
u̧$	*u̧/ũ	9
^č	tʃ	3
i	*i/i	9
-	+	6
đ	ð	5
^n	n	7
ɨ̧	*ɨ̧/ɨ̃	3
ñ	ɲ	4
ɨ̧$	*ɨ̧/ɨ̃	4
x	*x/ʃ	3
^ƀ	β	5
l	l	2
u$	*u/u	13
^đ	ð	8
^m	m	1
i̧	*i̧/ĩ	7
i̧$	*i̧/ĩ	9
y	*y/ʒ	3
ⁿd	ⁿd	2
^i	*i/i	3
^kʷ	kʷ	4
e	*e/e	8
e$	*e/e	11
o	*o/o	6
o$	*o/o	6
w	*w/β	1
^u̧	*u̧/ũ	2
a̧$	*a̧/ã	3
o̧	*o̧/õ	3
o̧$	*o̧/õ	5
^o̧	*o̧/õ	1
^t	t	2
^š	ʃ	2
^r̃	r	1
ȩ	*ȩ/ẽ	1
ƀ	β	2
^y	*y/j	6
^ž	ʒ	2
k	k	2
^l	l	2
d	*d/ð	2
ž	ʒ	1
kʷ	kʷ	1
^ⁿǰ	ⁿdʒ	1
i̧ᵑ$	ĩ	1
^u	*u/u	3
xʸ	*xʸ/xʲ	1
^i̧	*i̧/ĩ	1
^a	*a/a	1
r	*r/ɾ	2
š	ʃ	1
^xʷ	*xʷ/ʃʷ	1
