Grapheme	IPA	Frequency
^k	k	12
i	*i/i	42
ȼ	ts	2
i$	*i/i	32
^ⁿdʸ	ⁿdʲ	5
u	*u/u	18
č	tʃ	7
^š	ʃ	5
t	t	11
o$	*o/o	11
^ñ	ɲ	8
o̧	*o̧/õ	12
m	m	6
a̧$	*a̧/ã	12
a	*a/a	29
ʔ	ʔ	30
n	n	11
o̧$	*o̧/õ	9
^ȼ	ts	9
-	+	18
l	l	2
a$	*a/a	21
^ʔ	ʔ	2
w	*w/β	11
^kʷ	kʷ	7
^n	n	4
ì̧	ĩ ¹	1
ì̧$	ĩ ¹	2
^s	s	6
a̧	*a̧/ã	5
i̧$	*i̧/ĩ	13
tʸ	tʲ	4
u$	*u/u	14
^đ	ð	10
e	*e/e	12
e$	*e/e	10
š	ʃ	8
^w	*w/β	7
k	k	12
đ	ð	11
^y	*y/j	17
s	s	5
^i	*i/i	3
^t	t	8
ñ	ɲ	6
kʷ	kʷ	3
y	*y/ʒ	5
o	*o/o	8
^ⁿs	ⁿs	5
^o̧	*o̧/õ	3
u̧$	*u̧/ũ	7
^č	tʃ	3
i̧	*i̧/ĩ	8
^m	m	1
I$	i̥	1
u̧	*u̧/ũ	5
^i̧	*i̧/ĩ	2
^ⁿǰ	ⁿdʒ	1
^ⁿd	ⁿd	6
ⁿd	ⁿd	1
^ì̧	ĩ ¹	1
^ⁿsʸ	ⁿsʲ	3
^u	*u/u	3
r	*r/ɾ	1
d	*d/ð	1
ȩ	*ȩ/ẽ	1
^a	*a/a	1
