ID	DOCULECT	CONCEPT	SPANISH_GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE	VARIETY_CODE
4703	XochapaMixtec	MEDICINE	medicina	ta̠ta̠n	̠	34	1372			stark2013diccionario		xoch11
9368	SanFranciscoJaltepetongoMixtec	ANIMAL	animal	(-tɨ)	-tɨ	50	619			josserand1983mixtec		jate11
5379	SantaMariaPapaloCuicatec	SMALL (PLURAL)	pequeño.PL, chico.PL	'a²ya¹⁴	'a²ya¹⁴	176				anderson1983diccionario		papa11
5377	SantaMariaPapaloCuicatec	BIG (PLURAL)	grande.PL	'a³ta³	'a³ta³	174				anderson1983diccionario		papa11
1492	SanJuanCopalaTriqui	FATHER VOCATIVE	father!, dad!	'a³tax¹	'a³tax¹	4		yes	Spanish	hollenbach1992syntactic		copa11
5404	SantaMariaPapaloCuicatec	NIGHT TIME	de noche, noche	'an³	'an³	199				anderson1983diccionario		papa11
5381	SantaMariaPapaloCuicatec	LONG (PLURAL)	largo.PL	'e⁴nu⁴	'e⁴nu⁴	178				anderson1983diccionario		papa11
5298	SantaMariaPapaloCuicatec	CHILI PEPPER	chile	'i³ya³	'i³ya³	98	919			anderson1983diccionario		papa11
5375	SantaMariaPapaloCuicatec	HOT	caliente	'i⁴n'u⁴	'i⁴n'u⁴	172	1286			anderson1983diccionario		papa11
5215	SantaMariaPapaloCuicatec	OWNER	dueño	'i⁴yan⁴ chin² ye⁴'en⁴	'i⁴yan⁴-chin²-ye⁴'en⁴	15	1036			anderson1983diccionario		papa11
5331	SantaMariaPapaloCuicatec	ROPE	mecate, cuerda	'i⁴yu⁴	'i⁴yu⁴	129	1218			anderson1983diccionario		papa11
6075	SanAndresChicahuaxtlaTriqui	NINE	nueve	'ïn⁴	'ïn⁴	165	1483			good1978diccionario		chic12
1490	SanJuanCopalaTriqui	MOTHER VOCATIVE	mother!, mom!	'na³nii³	'na³nii³	2				hollenbach1992syntactic		copa11
6067	SanAndresChicahuaxtlaTriqui	ONE	uno	'ngo⁵³	'ngo⁵³	157	1493			good1978diccionario		chic12
5992	SanAndresChicahuaxtlaTriqui	CORN	maíz	'nï¹	'nï¹	87	506			good1978diccionario		chic12
6035	SanAndresChicahuaxtlaTriqui	THREAD	hilo	'uej³e	'uej³e	127	1161			good1978diccionario		chic12
6099	SanAndresChicahuaxtlaTriqui	RAW	crudo	'ui⁵³	'ui⁵³	192	1959			good1978diccionario		chic12
