Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
i	i	ndi¹bi⁴, ndi³xi⁴	yolo11, abas11	100	U+0069
a	a	ya¹ma⁴, ya⁴a²⁴	yolo11, abas11	100	U+0061
ʔ	ʔ	kùʔù, sèʔē	atat11, gran11, peno11, prog12, moli11, cahu11, metl11, ocot11, caca11, coat11, xaya11, diux11, mixt11, jica11, chay11, alac11, ayut11	100	U+0294
u	u	ñu¹ñu⁴, ta¹su'⁴u⁴	yolo11, abas11	100	U+0075
i$	i	nuni, ndivi	abas11, prog12, jami11, ocot11, ayut11	100	U+0069 U+0024
t	t	sutu, kwātyi	abas11, yolo11, jami11, ocot11, prog12	100	U+0074
n	n	nuni, una	yolo11, prog12, ocot11, abas11, jami11, ayut11	100	U+006e
a$	a	nama, una	abas11, jami11, prog12, ayut11, ocot11, coat11	100	U+0061 U+0024
^k	k	kaka, kuhu	abas11, yolo11, prog12, ocot11, coat11, jami11, ayut11	100	U+005e U+006b
^t	t	tutu, tichí	yolo11, jami11, prog12, ocot11, ayut11, coat11, abas11	100	U+005e U+0074
k	k	oko, kaka	yolo11, abas11, ayut11, ocot11, prog12, coat11, jami11	100	U+006b
^y	y	yaa, yoo	yolo11, abas11, jami11, prog12, ayut11, ocot11, alac11	100	U+005e U+0079
-	<?>	sani-sa-nuu-sichi, ndī-kāchī	tepo01, ocot11, jami11, yolo11, prog12, copa11, alac11, diux11, coat11, ayut11, chic02, abas11, yoso11, conc11, gran11	100	U+002d
^ⁿd	ⁿd	ⁿdiʔi, ⁿdaa	atat11, gran11, cahu11, coat11, alco11, ayut11, chal11, prog12, caca11, zaca11, yucu16, peno11, prom01, moli11, jica11, ocot11, chay11, alac11, xaya11, atoy11, apoa11, mixt11, aten11, apas11, acat11, chay12, metl11, ahue11, mech11, brav11, pino11, diux11	100	U+005e U+207f U+0064
^n	n	nuu, nuni	yolo11, abas11, ocot11, jami11, prog12	100	U+005e U+006e
u̧$	u̧	nu̧ʔu̧, suku̧	cris11, jate11, jica11, tona11, chig11, itun11, esta11, tlal11, nuxa11, ixta11, colo11, cuya11, este11, dura11, coso11, coxc11, coat11, mont13, achi11, jica12, chaz11, moli11, cuau11, atoy11, huit11, alco11, juxt11, tila11, mont14, tepe12, tlac11, tlaz11, pino12, caca11, apoa11, atat11, zaca11, tama11, gran11, jami11, ayut11, tepe11, cahu11, yolo12, ixta12, pied11, nund13, tama12, apas11, chal11, nuch11, yoso11, tida11, yolo11, lore11, mixt11, acat11, sayu11, adeq11, cuat11, xaya11, reye11, teco11, yucu11, ahue11, teit11, nuti11, brav11, guad11, ixpa11, diux11, pino11, joco11	100	U+0075 U+0327 U+0024
u$	u	sutu, iñu	yoso11, abas11, jami11, ayut11, conc11, diux11, ocot11, coat11, prog12, chic02, alac11	100	U+0075 U+0024
