Grapheme	IPA	CLASS	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
ɥ	ɥ	?	kɥi³õ³, kɥi³i¹	yucu16	4	U+0265
^chh	?	C	chhenu, chhātā	conc11	2	U+005e U+0063 U+0068 U+0068
^dh	?	C	dhīn	conc11	1	U+005e U+0064 U+0068
^g	?	C	gu³vi³, gui⁴'yo⁵	chic12, papa11, chic02, copa11, tepe03	44	U+005e U+0067
^gh	?	C	ghueheha, ghuiiha	chic02	4	U+005e U+0067 U+0068
^gw	?	C	gwii³	copa11	1	U+005e U+0067 U+0077
^lh	?	C	lhín	conc11	1	U+005e U+006c U+0068
^ř	?	C	řekʷe	mont13	1	U+005e U+0159
mh	?	C	yhāmhī, hīímha	conc11	2	U+006d U+0068
n̄	?	C	yan̄i, tí:n̄í	jami11, prog12, ayut11, ocot11	5	U+006e U+0304
ⁿr	?	C	ti-ⁿruu	chic11	1	U+207f U+0072
q$	?	C	dzuq	tepo01	1	U+0071 U+0024
u̧ᵑ$	?	C	satu̧ᵑ, đu̧u̧ᵑ	coso11, sind11	3	U+0075 U+0327 U+1d51 U+0024
^n̄	?	C	n̄īhín, n̄ūú	ocot11, yoso11, alac11, jami11, ayut11	8	U+005e U+006e U+0304
^rr	?	C	rrumii, rrikii	chic02	8	U+005e U+0072 U+0072
rr	?	C	nurrnúú, lírrú-ka'a-ye'è	chic02, yucu13, tlah11	4	U+0072 U+0072
^b	*/b/β	C	banku, banka	yolo11, tepe03, zaca11, yucu16, chal11, alco11, mont14, more11, jate11, nund12, mont12, coxc11, pena12, prog11, adeq11, ndua11, nuti11, amat11, mica11, ixta13, sini11, nund11	43	U+005e U+0062
^j	*/h/?	C	jùtù, java	prom01, zaca11, pena11, chal11, yucu16, mont12, colo11, atat11, alco11	100	U+005e U+006a
^h	*/h/ʔ	C	hoʔo, hita	prog12, tepo01, yucu13, chic12, nuch11, chic02, aten11, mont12, conc11, ixpa11, colo11, copa11, more11, tepe03, chay12, papa11, flor11, zaca11, tama12, jica12, atoy11, sini11	95	U+005e U+0068
^x	*/ʃ/x/ɕ	C	xito, xixi	yolo11, prog12, tlah11, pied12, flor12, abas11, conc11, ocot11, yoso11, chic02, atat11, gran11, mont12, mixt11	100	U+005e U+0078
x	*/ʃ/x/ɕ	C	xixi, vixi	copa11, yolo11, prog12, ocot11, abas11, yoso11, atat11, gran11, flor12, chic02, tlah11, pied12, moli11, mont12, mixt11, alac11, conc11, diux11	100	U+0078
ỹ	*/j/ʒ	C	i̧ỹu̧, ku̧ỹu̧	chic11, apoa11, joco11, yolo12, ixta12, tila11, tama11, tida11, mont13, diux11, apas11, caca11	22	U+1ef9
